schema_version,experiment_id,strategy_id,maximum_daily_losses,daily_loss_limit_usd,maximum_consecutive_losses,consecutive_loss_pause_trade_dates,maximum_equity_drawdown_usd,drawdown_pause_trade_dates,input_diagnostic_rows,state_warmup_rows,accepted_trades,skipped_trades,target_hits,losses,other_exits,skipped_target_hits,skipped_losses,skipped_other_exits,win_rate,net_usd,skipped_net_usd,average_net_usd,max_equity_drawdown_usd,long_trades,short_trades,notes
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=500:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,500,999,1,500,1,23,0,17,6,7,10,0,0,6,0,0.41176471,440.5,-1321,25.91176471,-1374.5,9,8,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=500:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,500,999,1,500,2,23,0,15,8,7,8,0,0,8,0,0.46666667,722.5,-1603,48.16666667,-1092.5,8,7,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=500:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,500,999,1,500,3,23,0,15,8,7,8,0,0,8,0,0.46666667,747.5,-1628,49.83333333,-1067.5,9,6,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=1000:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,500,999,1,1000,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=1000:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,500,999,1,1000,1,23,0,18,5,7,11,0,0,5,0,0.38888889,287,-1167.5,15.94444444,-1528,8,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=1000:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,500,999,1,1000,2,23,0,17,6,7,10,0,0,6,0,0.41176471,490.5,-1371,28.85294118,-1324.5,8,9,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=1000:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,500,999,1,1000,3,23,0,16,7,7,9,0,0,7,0,0.4375,619,-1499.5,38.6875,-1196,7,9,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=999999:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,500,999,1,999999,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=999999:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,500,999,1,999999,1,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=999999:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,500,999,1,999999,2,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=1:max_drawdown=999999:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,500,999,1,999999,3,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,500,999,2,250,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=250:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,500,999,2,250,1,23,0,13,10,4,9,0,3,7,0,0.30769231,-833,-47.5,-64.07692308,-1615.5,6,7,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=250:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,500,999,2,250,2,23,0,9,14,2,7,0,5,9,0,0.22222222,-481.5,-399,-53.5,-1121,5,4,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=250:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,500,999,2,250,3,23,0,8,15,2,6,0,5,10,0,0.25,-484.25,-396.25,-60.53125,-1037,5,3,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=500:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,500,999,2,500,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=500:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,500,999,2,500,1,23,0,17,6,7,10,0,0,6,0,0.41176471,440.5,-1321,25.91176471,-1374.5,9,8,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=500:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,500,999,2,500,2,23,0,15,8,7,8,0,0,8,0,0.46666667,722.5,-1603,48.16666667,-1092.5,8,7,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=500:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,500,999,2,500,3,23,0,15,8,7,8,0,0,8,0,0.46666667,747.5,-1628,49.83333333,-1067.5,9,6,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=1000:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,500,999,2,1000,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=1000:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,500,999,2,1000,1,23,0,18,5,7,11,0,0,5,0,0.38888889,287,-1167.5,15.94444444,-1528,8,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=1000:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,500,999,2,1000,2,23,0,17,6,7,10,0,0,6,0,0.41176471,490.5,-1371,28.85294118,-1324.5,8,9,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=1000:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,500,999,2,1000,3,23,0,16,7,7,9,0,0,7,0,0.4375,619,-1499.5,38.6875,-1196,7,9,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=999999:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,500,999,2,999999,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=999999:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,500,999,2,999999,1,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=999999:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,500,999,2,999999,2,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=500:max_consecutive_losses=999:consecutive_pause_dates=2:max_drawdown=999999:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,500,999,2,999999,3,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,999999,1,0,250,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,999999,1,0,250,1,23,0,13,10,4,9,0,3,7,0,0.30769231,-833,-47.5,-64.07692308,-1615.5,6,7,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,999999,1,0,250,2,23,0,9,14,2,7,0,5,9,0,0.22222222,-481.5,-399,-53.5,-1121,5,4,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,999999,1,0,250,3,23,0,8,15,2,6,0,5,10,0,0.25,-484.25,-396.25,-60.53125,-1037,5,3,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=500:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,999999,1,0,500,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=500:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,999999,1,0,500,1,23,0,17,6,7,10,0,0,6,0,0.41176471,440.5,-1321,25.91176471,-1374.5,9,8,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=500:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,999999,1,0,500,2,23,0,15,8,7,8,0,0,8,0,0.46666667,722.5,-1603,48.16666667,-1092.5,8,7,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=500:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,999999,1,0,500,3,23,0,15,8,7,8,0,0,8,0,0.46666667,747.5,-1628,49.83333333,-1067.5,9,6,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=1000:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,999999,1,0,1000,0,23,0,19,4,7,12,0,0,4,0,0.36842105,83.5,-964,4.39473684,-1731.5,9,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=1000:drawdown_pause_dates=1,liquidity_sweep_absorption_reversal,1,999999,1,0,1000,1,23,0,18,5,7,11,0,0,5,0,0.38888889,287,-1167.5,15.94444444,-1528,8,10,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=999999:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=1000:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,999999,1,0,1000,2,23,0,17,6,7,10,0,0,6,0,0.41176471,490.5,-1371,28.85294118,-1324.5,8,9,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
